alexnet_num-100 top1:0.54, top5:0.8, time cost: 0.6185166835784912s
alexnet_num-200 top1:0.535, top5:0.825, time cost: 0.57724928855896s
alexnet_num-300 top1:0.5066666666666667, top5:0.7966666666666666, time cost: 0.6092398166656494s
alexnet_num-400 top1:0.5375, top5:0.7975, time cost: 0.5953969955444336s
alexnet_num-500 top1:0.55, top5:0.814, time cost: 0.6214051246643066s
alexnet_num-600 top1:0.5433333333333333, top5:0.8083333333333333, time cost: 0.717583179473877s
alexnet_num-700 top1:0.5457142857142857, top5:0.81, time cost: 0.5842757225036621s
alexnet_num-800 top1:0.555, top5:0.81375, time cost: 0.6684143543243408s
alexnet_num-900 top1:0.5511111111111111, top5:0.8077777777777778, time cost: 0.5926485061645508s
alexnet_num-1000 top1:0.549, top5:0.806, time cost: 0.603325605392456s
alexnet_num-1100 top1:0.5590909090909091, top5:0.81, time cost: 0.6364688873291016s
alexnet_num-1200 top1:0.5641666666666667, top5:0.8116666666666666, time cost: 0.5975944995880127s
alexnet_num-1300 top1:0.5692307692307692, top5:0.8138461538461539, time cost: 0.5776700973510742s
alexnet_num-1400 top1:0.5614285714285714, top5:0.8071428571428572, time cost: 0.6008009910583496s
alexnet_num-1500 top1:0.5586666666666666, top5:0.804, time cost: 0.5877196788787842s
alexnet_num-1600 top1:0.56, top5:0.80125, time cost: 0.6011762619018555s
alexnet_num-1700 top1:0.5594117647058824, top5:0.7988235294117647, time cost: 0.635673999786377s
alexnet_num-1800 top1:0.5566666666666666, top5:0.7961111111111111, time cost: 0.6277322769165039s
alexnet_num-1900 top1:0.5505263157894736, top5:0.7952631578947369, time cost: 0.598339319229126s
alexnet_num-2000 top1:0.548, top5:0.7925, time cost: 0.613863468170166s
alexnet_num-2100 top1:0.5519047619047619, top5:0.7952380952380952, time cost: 0.6520974636077881s
alexnet_num-2200 top1:0.5509090909090909, top5:0.7940909090909091, time cost: 0.6033902168273926s
alexnet_num-2300 top1:0.5495652173913044, top5:0.7939130434782609, time cost: 0.6628577709197998s
alexnet_num-2400 top1:0.5529166666666666, top5:0.7954166666666667, time cost: 0.5858948230743408s
alexnet_num-2500 top1:0.554, top5:0.7956, time cost: 0.6273007392883301s
alexnet_num-2600 top1:0.5526923076923077, top5:0.7980769230769231, time cost: 0.5987744331359863s
alexnet_num-2700 top1:0.5533333333333333, top5:0.7977777777777778, time cost: 0.5891420841217041s
alexnet_num-2800 top1:0.5535714285714286, top5:0.7971428571428572, time cost: 0.652036190032959s
alexnet_num-2900 top1:0.5537931034482758, top5:0.7989655172413793, time cost: 0.5834214687347412s
alexnet_num-3000 top1:0.5533333333333333, top5:0.7963333333333333, time cost: 0.6387856006622314s
alexnet_num-3100 top1:0.5541935483870968, top5:0.7980645161290323, time cost: 0.5841884613037109s
alexnet_num-3200 top1:0.5534375, top5:0.79875, time cost: 0.6025195121765137s
alexnet_num-3300 top1:0.5563636363636364, top5:0.7996969696969697, time cost: 0.5887172222137451s
alexnet_num-3400 top1:0.5576470588235294, top5:0.7994117647058824, time cost: 0.6319410800933838s
alexnet_num-3500 top1:0.5585714285714286, top5:0.8008571428571428, time cost: 0.6172792911529541s
