densenet169_num-100 top1:0.77, top5:0.95, time cost: 2.941195487976074s
densenet169_num-200 top1:0.745, top5:0.92, time cost: 2.8606863021850586s
densenet169_num-300 top1:0.7233333333333334, top5:0.91, time cost: 3.078585147857666s
densenet169_num-400 top1:0.7375, top5:0.9225, time cost: 3.0673279762268066s
densenet169_num-500 top1:0.748, top5:0.936, time cost: 3.0412988662719727s
densenet169_num-600 top1:0.7466666666666667, top5:0.9383333333333334, time cost: 3.140699863433838s
densenet169_num-700 top1:0.7542857142857143, top5:0.9371428571428572, time cost: 3.129645586013794s
densenet169_num-800 top1:0.755, top5:0.93375, time cost: 3.2255783081054688s
densenet169_num-900 top1:0.7577777777777778, top5:0.9322222222222222, time cost: 3.167510747909546s
densenet169_num-1000 top1:0.761, top5:0.933, time cost: 3.083782434463501s
densenet169_num-1100 top1:0.77, top5:0.9345454545454546, time cost: 3.081315040588379s
densenet169_num-1200 top1:0.7741666666666667, top5:0.935, time cost: 3.074672222137451s
densenet169_num-1300 top1:0.7753846153846153, top5:0.9361538461538461, time cost: 3.0106213092803955s
densenet169_num-1400 top1:0.7757142857142857, top5:0.9357142857142857, time cost: 3.016193151473999s
densenet169_num-1500 top1:0.7753333333333333, top5:0.9346666666666666, time cost: 3.008701801300049s
densenet169_num-1600 top1:0.77, top5:0.934375, time cost: 3.021832227706909s
densenet169_num-1700 top1:0.7664705882352941, top5:0.9335294117647058, time cost: 3.1337857246398926s
densenet169_num-1800 top1:0.7644444444444445, top5:0.9327777777777778, time cost: 3.183098077774048s
densenet169_num-1900 top1:0.7636842105263157, top5:0.9347368421052632, time cost: 3.151590347290039s
densenet169_num-2000 top1:0.7615, top5:0.9345, time cost: 3.171072244644165s
densenet169_num-2100 top1:0.7657142857142857, top5:0.9357142857142857, time cost: 3.1847422122955322s
densenet169_num-2200 top1:0.7609090909090909, top5:0.9336363636363636, time cost: 3.02673077583313s
densenet169_num-2300 top1:0.7591304347826087, top5:0.9343478260869565, time cost: 3.084365129470825s
densenet169_num-2400 top1:0.76125, top5:0.9354166666666667, time cost: 3.003054141998291s
densenet169_num-2500 top1:0.7648, top5:0.9364, time cost: 3.042492389678955s
densenet169_num-2600 top1:0.7630769230769231, top5:0.9365384615384615, time cost: 3.017634630203247s
densenet169_num-2700 top1:0.7622222222222222, top5:0.9374074074074074, time cost: 3.0100839138031006s
densenet169_num-2800 top1:0.7610714285714286, top5:0.9364285714285714, time cost: 3.082204580307007s
densenet169_num-2900 top1:0.763448275862069, top5:0.9372413793103448, time cost: 3.0089452266693115s
densenet169_num-3000 top1:0.7616666666666667, top5:0.938, time cost: 3.191894769668579s
densenet169_num-3100 top1:0.7606451612903226, top5:0.9374193548387096, time cost: 3.1294896602630615s
densenet169_num-3200 top1:0.759375, top5:0.9378125, time cost: 3.1533823013305664s
densenet169_num-3300 top1:0.7593939393939394, top5:0.9372727272727273, time cost: 3.125044107437134s
densenet169_num-3400 top1:0.7591176470588236, top5:0.9379411764705883, time cost: 3.1350913047790527s
densenet169_num-3500 top1:0.7597142857142857, top5:0.9385714285714286, time cost: 3.114452600479126s
densenet169_num-3600 top1:0.7588888888888888, top5:0.9386111111111111, time cost: 3.102693796157837s
densenet169_num-3700 top1:0.7594594594594595, top5:0.9383783783783783, time cost: 3.0823798179626465s
densenet169_num-3800 top1:0.7594736842105263, top5:0.9376315789473684, time cost: 3.149346113204956s
densenet169_num-3900 top1:0.7607692307692308, top5:0.9376923076923077, time cost: 3.146404266357422s
densenet169_num-4000 top1:0.76125, top5:0.93825, time cost: 3.137179374694824s
densenet169_num-4100 top1:0.7617073170731707, top5:0.9382926829268292, time cost: 3.1431884765625s
densenet169_num-4200 top1:0.7607142857142857, top5:0.9373809523809524, time cost: 3.126112937927246s
densenet169_num-4300 top1:0.7616279069767442, top5:0.9376744186046512, time cost: 3.1579222679138184s
densenet169_num-4400 top1:0.7618181818181818, top5:0.9375, time cost: 3.1494994163513184s
