inceptionv3_num-100 top1:0.77, top5:0.95, time cost: 2.47875714302063s
inceptionv3_num-200 top1:0.765, top5:0.945, time cost: 2.3798828125s
inceptionv3_num-300 top1:0.75, top5:0.9433333333333334, time cost: 2.422851085662842s
inceptionv3_num-400 top1:0.7625, top5:0.9475, time cost: 2.4100265502929688s
inceptionv3_num-500 top1:0.778, top5:0.954, time cost: 2.4311635494232178s
inceptionv3_num-600 top1:0.78, top5:0.9533333333333334, time cost: 2.5364675521850586s
inceptionv3_num-700 top1:0.7785714285714286, top5:0.9528571428571428, time cost: 2.394921064376831s
inceptionv3_num-800 top1:0.78375, top5:0.95375, time cost: 2.5170814990997314s
inceptionv3_num-900 top1:0.7855555555555556, top5:0.9544444444444444, time cost: 2.4006853103637695s
inceptionv3_num-1000 top1:0.789, top5:0.956, time cost: 2.4313108921051025s
inceptionv3_num-1100 top1:0.7945454545454546, top5:0.9590909090909091, time cost: 2.461897850036621s
inceptionv3_num-1200 top1:0.795, top5:0.9591666666666666, time cost: 2.432814598083496s
inceptionv3_num-1300 top1:0.7953846153846154, top5:0.9607692307692308, time cost: 2.396411180496216s
inceptionv3_num-1400 top1:0.7964285714285714, top5:0.96, time cost: 2.414046049118042s
inceptionv3_num-1500 top1:0.7933333333333333, top5:0.958, time cost: 2.406510829925537s
inceptionv3_num-1600 top1:0.790625, top5:0.955625, time cost: 2.423126220703125s
inceptionv3_num-1700 top1:0.7905882352941176, top5:0.9541176470588235, time cost: 2.4425997734069824s
inceptionv3_num-1800 top1:0.7877777777777778, top5:0.9533333333333334, time cost: 2.4413223266601562s
inceptionv3_num-1900 top1:0.79, top5:0.9547368421052631, time cost: 2.4029128551483154s
inceptionv3_num-2000 top1:0.786, top5:0.954, time cost: 2.4216909408569336s
inceptionv3_num-2100 top1:0.7914285714285715, top5:0.9552380952380952, time cost: 2.4661757946014404s
inceptionv3_num-2200 top1:0.7890909090909091, top5:0.9540909090909091, time cost: 2.4183335304260254s
inceptionv3_num-2300 top1:0.7895652173913044, top5:0.9547826086956521, time cost: 2.4628379344940186s
inceptionv3_num-2400 top1:0.7895833333333333, top5:0.9541666666666667, time cost: 2.39548921585083s
inceptionv3_num-2500 top1:0.7924, top5:0.9548, time cost: 2.4376413822174072s
inceptionv3_num-2600 top1:0.7907692307692308, top5:0.9553846153846154, time cost: 2.4137179851531982s
inceptionv3_num-2700 top1:0.7896296296296297, top5:0.9544444444444444, time cost: 2.401120901107788s
inceptionv3_num-2800 top1:0.7892857142857143, top5:0.9528571428571428, time cost: 2.4701902866363525s
inceptionv3_num-2900 top1:0.7920689655172414, top5:0.953103448275862, time cost: 2.3925063610076904s
inceptionv3_num-3000 top1:0.7926666666666666, top5:0.9526666666666667, time cost: 2.45350980758667s
inceptionv3_num-3100 top1:0.7941935483870968, top5:0.9529032258064516, time cost: 2.398742198944092s
inceptionv3_num-3200 top1:0.7925, top5:0.953125, time cost: 2.412386178970337s
inceptionv3_num-3300 top1:0.7924242424242425, top5:0.953030303030303, time cost: 2.379990339279175s
inceptionv3_num-3400 top1:0.793235294117647, top5:0.9532352941176471, time cost: 2.3977572917938232s
inceptionv3_num-3500 top1:0.7934285714285715, top5:0.9534285714285714, time cost: 2.3819050788879395s
inceptionv3_num-3600 top1:0.7913888888888889, top5:0.9533333333333334, time cost: 2.455564498901367s
inceptionv3_num-3700 top1:0.7935135135135135, top5:0.9537837837837838, time cost: 2.414849042892456s
inceptionv3_num-3800 top1:0.7921052631578948, top5:0.9526315789473684, time cost: 2.404313325881958s
inceptionv3_num-3900 top1:0.7933333333333333, top5:0.9528205128205128, time cost: 2.417868137359619s
inceptionv3_num-4000 top1:0.793, top5:0.95225, time cost: 2.416031837463379s
inceptionv3_num-4100 top1:0.7941463414634147, top5:0.9524390243902439, time cost: 2.4084644317626953s
