mobilenetv2_num-100 top1:0.75, top5:0.93, time cost: 3.9190845489501953s
mobilenetv2_num-200 top1:0.735, top5:0.9, time cost: 3.8641180992126465s
mobilenetv2_num-300 top1:0.7, top5:0.89, time cost: 3.8950932025909424s
mobilenetv2_num-400 top1:0.71, top5:0.8975, time cost: 3.945197820663452s
mobilenetv2_num-500 top1:0.726, top5:0.912, time cost: 4.091156959533691s
mobilenetv2_num-600 top1:0.7183333333333334, top5:0.915, time cost: 4.044275283813477s
mobilenetv2_num-700 top1:0.7171428571428572, top5:0.9157142857142857, time cost: 3.930936813354492s
mobilenetv2_num-800 top1:0.71625, top5:0.9125, time cost: 4.128330707550049s
mobilenetv2_num-900 top1:0.7211111111111111, top5:0.9133333333333333, time cost: 3.96258544921875s
mobilenetv2_num-1000 top1:0.724, top5:0.915, time cost: 3.9951086044311523s
mobilenetv2_num-1100 top1:0.730909090909091, top5:0.9163636363636364, time cost: 4.142910718917847s
mobilenetv2_num-1200 top1:0.7333333333333333, top5:0.9166666666666666, time cost: 4.008803606033325s
mobilenetv2_num-1300 top1:0.7384615384615385, top5:0.9192307692307692, time cost: 3.924194574356079s
mobilenetv2_num-1400 top1:0.7314285714285714, top5:0.9171428571428571, time cost: 3.938081979751587s
mobilenetv2_num-1500 top1:0.7333333333333333, top5:0.916, time cost: 3.9004437923431396s
mobilenetv2_num-1600 top1:0.7275, top5:0.91, time cost: 3.907216787338257s
mobilenetv2_num-1700 top1:0.7282352941176471, top5:0.9088235294117647, time cost: 3.955507755279541s
mobilenetv2_num-1800 top1:0.7238888888888889, top5:0.9094444444444445, time cost: 3.9422411918640137s
mobilenetv2_num-1900 top1:0.7252631578947368, top5:0.9094736842105263, time cost: 3.942016839981079s
mobilenetv2_num-2000 top1:0.724, top5:0.9075, time cost: 3.979215621948242s
mobilenetv2_num-2100 top1:0.7247619047619047, top5:0.9080952380952381, time cost: 4.042537212371826s
mobilenetv2_num-2200 top1:0.7209090909090909, top5:0.905, time cost: 4.046727180480957s
mobilenetv2_num-2300 top1:0.7208695652173913, top5:0.9056521739130434, time cost: 4.017117023468018s
mobilenetv2_num-2400 top1:0.7233333333333334, top5:0.9054166666666666, time cost: 3.93430757522583s
mobilenetv2_num-2500 top1:0.7256, top5:0.9068, time cost: 3.9892067909240723s
mobilenetv2_num-2600 top1:0.7246153846153847, top5:0.9053846153846153, time cost: 3.9960031509399414s
mobilenetv2_num-2700 top1:0.7207407407407408, top5:0.9070370370370371, time cost: 3.943100929260254s
mobilenetv2_num-2800 top1:0.7192857142857143, top5:0.9057142857142857, time cost: 3.998908519744873s
mobilenetv2_num-2900 top1:0.7213793103448276, top5:0.9065517241379311, time cost: 3.9169552326202393s
mobilenetv2_num-3000 top1:0.72, top5:0.905, time cost: 3.9993560314178467s
mobilenetv2_num-3100 top1:0.7190322580645161, top5:0.9045161290322581, time cost: 3.959897994995117s
mobilenetv2_num-3200 top1:0.7178125, top5:0.9046875, time cost: 3.939887046813965s
mobilenetv2_num-3300 top1:0.7172727272727273, top5:0.9051515151515152, time cost: 3.912630081176758s
mobilenetv2_num-3400 top1:0.7182352941176471, top5:0.9055882352941177, time cost: 4.0057291984558105s
mobilenetv2_num-3500 top1:0.7188571428571429, top5:0.9057142857142857, time cost: 3.9421133995056152s
mobilenetv2_num-3600 top1:0.7211111111111111, top5:0.9055555555555556, time cost: 3.978731870651245s
mobilenetv2_num-3700 top1:0.7227027027027026, top5:0.9062162162162162, time cost: 3.9290571212768555s
mobilenetv2_num-3800 top1:0.7213157894736842, top5:0.905, time cost: 3.9053893089294434s
mobilenetv2_num-3900 top1:0.7220512820512821, top5:0.9053846153846153, time cost: 3.8785793781280518s
mobilenetv2_num-4000 top1:0.72125, top5:0.90475, time cost: 3.889572858810425s
mobilenetv2_num-4100 top1:0.7214634146341463, top5:0.9039024390243903, time cost: 3.9173429012298584s
mobilenetv2_num-4200 top1:0.7204761904761905, top5:0.9038095238095238, time cost: 4.031389236450195s
mobilenetv2_num-4300 top1:0.72, top5:0.9032558139534884, time cost: 3.9452855587005615s
mobilenetv2_num-4400 top1:0.72, top5:0.9029545454545455, time cost: 4.009943723678589s
mobilenetv2_num-4500 top1:0.7208888888888889, top5:0.904, time cost: 3.968682050704956s
mobilenetv2_num-4600 top1:0.7191304347826087, top5:0.9028260869565218, time cost: 3.9416913986206055s
mobilenetv2_num-4700 top1:0.7180851063829787, top5:0.902127659574468, time cost: 4.013384580612183s
mobilenetv2_num-4800 top1:0.7179166666666666, top5:0.9025, time cost: 3.9967963695526123s
mobilenetv2_num-4900 top1:0.7167346938775511, top5:0.9028571428571428, time cost: 3.9901769161224365s
mobilenetv2_num-5000 top1:0.7186, top5:0.903, time cost: 3.9287002086639404s
mobilenetv2_num-5100 top1:0.7184313725490196, top5:0.9023529411764706, time cost: 4.087608814239502s
mobilenetv2_num-5200 top1:0.7205769230769231, top5:0.9028846153846154, time cost: 4.077911138534546s
mobilenetv2_num-5300 top1:0.7209433962264151, top5:0.9030188679245283, time cost: 3.928961753845215s
mobilenetv2_num-5400 top1:0.720925925925926, top5:0.9035185185185185, time cost: 3.8914926052093506s
mobilenetv2_num-5500 top1:0.7198181818181818, top5:0.9027272727272727, time cost: 3.888319492340088s
mobilenetv2_num-5600 top1:0.7201785714285714, top5:0.9030357142857143, time cost: 3.942025661468506s
mobilenetv2_num-5700 top1:0.7203508771929824, top5:0.9035087719298246, time cost: 4.0125510692596436s
