resnet152_num-100 top1:0.8, top5:0.97, time cost: 2.9425971508026123s
resnet152_num-200 top1:0.755, top5:0.935, time cost: 2.8498687744140625s
resnet152_num-300 top1:0.7166666666666667, top5:0.9233333333333333, time cost: 2.8764264583587646s
resnet152_num-400 top1:0.735, top5:0.93, time cost: 2.8680219650268555s
resnet152_num-500 top1:0.754, top5:0.94, time cost: 2.8921120166778564s
resnet152_num-600 top1:0.7566666666666667, top5:0.9416666666666667, time cost: 2.98976731300354s
resnet152_num-700 top1:0.7614285714285715, top5:0.9414285714285714, time cost: 2.859903335571289s
resnet152_num-800 top1:0.76375, top5:0.94125, time cost: 2.945570707321167s
resnet152_num-900 top1:0.76, top5:0.9411111111111111, time cost: 2.87088680267334s
resnet152_num-1000 top1:0.76, top5:0.941, time cost: 2.885711669921875s
resnet152_num-1100 top1:0.7672727272727272, top5:0.9436363636363636, time cost: 2.924076557159424s
resnet152_num-1200 top1:0.7666666666666667, top5:0.9425, time cost: 2.88692569732666s
resnet152_num-1300 top1:0.7715384615384615, top5:0.943076923076923, time cost: 2.8619065284729004s
resnet152_num-1400 top1:0.7685714285714286, top5:0.9428571428571428, time cost: 2.885714292526245s
resnet152_num-1500 top1:0.7666666666666667, top5:0.9413333333333334, time cost: 2.870832681655884s
resnet152_num-1600 top1:0.76125, top5:0.9375, time cost: 2.8899800777435303s
resnet152_num-1700 top1:0.7605882352941177, top5:0.9370588235294117, time cost: 2.916809558868408s
resnet152_num-1800 top1:0.76, top5:0.9372222222222222, time cost: 2.920992374420166s
resnet152_num-1900 top1:0.7636842105263157, top5:0.9389473684210526, time cost: 2.883427381515503s
resnet152_num-2000 top1:0.7595, top5:0.936, time cost: 2.8977413177490234s
resnet152_num-2100 top1:0.7633333333333333, top5:0.9357142857142857, time cost: 2.9377169609069824s
resnet152_num-2200 top1:0.7609090909090909, top5:0.9340909090909091, time cost: 2.888909339904785s
resnet152_num-2300 top1:0.7634782608695653, top5:0.9347826086956522, time cost: 2.9429895877838135s
resnet152_num-2400 top1:0.7654166666666666, top5:0.9345833333333333, time cost: 2.8739013671875s
resnet152_num-2500 top1:0.7676, top5:0.936, time cost: 2.917271852493286s
resnet152_num-2600 top1:0.7688461538461538, top5:0.9361538461538461, time cost: 2.8850502967834473s
resnet152_num-2700 top1:0.7688888888888888, top5:0.937037037037037, time cost: 2.874563455581665s
resnet152_num-2800 top1:0.7678571428571429, top5:0.9353571428571429, time cost: 2.9441192150115967s
resnet152_num-2900 top1:0.7703448275862069, top5:0.9368965517241379, time cost: 2.866901159286499s
resnet152_num-3000 top1:0.769, top5:0.936, time cost: 2.9275405406951904s
resnet152_num-3100 top1:0.7683870967741936, top5:0.9367741935483871, time cost: 2.8725757598876953s
resnet152_num-3200 top1:0.7678125, top5:0.9378125, time cost: 2.8858163356781006s
resnet152_num-3300 top1:0.7666666666666667, top5:0.9372727272727273, time cost: 2.8654046058654785s
resnet152_num-3400 top1:0.7673529411764706, top5:0.9373529411764706, time cost: 2.8693394660949707s
resnet152_num-3500 top1:0.7682857142857142, top5:0.938, time cost: 2.8600871562957764s
resnet152_num-3600 top1:0.7680555555555556, top5:0.9377777777777778, time cost: 2.9157469272613525s
resnet152_num-3700 top1:0.7686486486486487, top5:0.9378378378378378, time cost: 2.889078378677368s
resnet152_num-3800 top1:0.7684210526315789, top5:0.9365789473684211, time cost: 2.8756051063537598s
resnet152_num-3900 top1:0.768974358974359, top5:0.936923076923077, time cost: 2.8792312145233154s
resnet152_num-4000 top1:0.7685, top5:0.93625, time cost: 2.876811981201172s
resnet152_num-4100 top1:0.7687804878048781, top5:0.9360975609756098, time cost: 2.8774633407592773s
resnet152_num-4200 top1:0.7685714285714286, top5:0.9354761904761905, time cost: 2.860626220703125s
resnet152_num-4300 top1:0.7686046511627908, top5:0.9348837209302325, time cost: 2.884531259536743s
resnet152_num-4400 top1:0.7686363636363637, top5:0.9345454545454546, time cost: 2.939084529876709s
resnet152_num-4500 top1:0.7693333333333333, top5:0.9344444444444444, time cost: 2.9286019802093506s
resnet152_num-4600 top1:0.7684782608695652, top5:0.9343478260869565, time cost: 2.8655498027801514s
resnet152_num-4700 top1:0.7687234042553192, top5:0.9340425531914893, time cost: 2.899688720703125s
resnet152_num-4800 top1:0.7695833333333333, top5:0.9345833333333333, time cost: 2.873244524002075s
resnet152_num-4900 top1:0.77, top5:0.9346938775510204, time cost: 2.908968448638916s
resnet152_num-5000 top1:0.7706, top5:0.935, time cost: 2.8679957389831543s
resnet152_num-5100 top1:0.7701960784313725, top5:0.9349019607843138, time cost: 2.906363010406494s
resnet152_num-5200 top1:0.7711538461538462, top5:0.9346153846153846, time cost: 2.90552020072937s
resnet152_num-5300 top1:0.7715094339622641, top5:0.9343396226415094, time cost: 2.914546251296997s
resnet152_num-5400 top1:0.7712962962962963, top5:0.9344444444444444, time cost: 2.868265151977539s
resnet152_num-5500 top1:0.7696363636363637, top5:0.9341818181818182, time cost: 2.8766562938690186s
resnet152_num-5600 top1:0.7708928571428572, top5:0.9339285714285714, time cost: 2.8777356147766113s
resnet152_num-5700 top1:0.7714035087719299, top5:0.9342105263157895, time cost: 2.878889560699463s
resnet152_num-5800 top1:0.771896551724138, top5:0.9348275862068965, time cost: 2.8546321392059326s
resnet152_num-5900 top1:0.772542372881356, top5:0.9352542372881356, time cost: 2.895658016204834s
resnet152_num-6000 top1:0.772, top5:0.935, time cost: 2.910358190536499s
resnet152_num-6100 top1:0.7724590163934426, top5:0.9347540983606557, time cost: 2.8891868591308594s
resnet152_num-6200 top1:0.772258064516129, top5:0.9340322580645162, time cost: 2.8884987831115723s
resnet152_num-6300 top1:0.7726984126984127, top5:0.9344444444444444, time cost: 2.8830044269561768s
resnet152_num-6400 top1:0.77265625, top5:0.93453125, time cost: 2.9876270294189453s
resnet152_num-6500 top1:0.7738461538461539, top5:0.934923076923077, time cost: 2.8709006309509277s
resnet152_num-6600 top1:0.7742424242424243, top5:0.935, time cost: 2.8865294456481934s
resnet152_num-6700 top1:0.7743283582089552, top5:0.9353731343283582, time cost: 2.9222159385681152s
resnet152_num-6800 top1:0.7741176470588236, top5:0.9348529411764706, time cost: 2.866948366165161s
resnet152_num-6900 top1:0.7730434782608696, top5:0.9344927536231884, time cost: 2.877800703048706s
resnet152_num-7000 top1:0.7735714285714286, top5:0.9347142857142857, time cost: 2.879011392593384s
resnet152_num-7100 top1:0.773943661971831, top5:0.9345070422535211, time cost: 2.9023990631103516s
resnet152_num-7200 top1:0.7741666666666667, top5:0.9345833333333333, time cost: 2.8859517574310303s
resnet152_num-7300 top1:0.7736986301369863, top5:0.933972602739726, time cost: 2.8726446628570557s
resnet152_num-7400 top1:0.7741891891891892, top5:0.9341891891891891, time cost: 3.0323221683502197s
resnet152_num-7500 top1:0.774, top5:0.9342666666666667, time cost: 2.94291090965271s
resnet152_num-7600 top1:0.7739473684210526, top5:0.9343421052631579, time cost: 2.9053783416748047s
resnet152_num-7700 top1:0.7742857142857142, top5:0.9344155844155844, time cost: 2.9801905155181885s
resnet152_num-7800 top1:0.7730769230769231, top5:0.9341025641025641, time cost: 2.892075538635254s
resnet152_num-7900 top1:0.7735443037974683, top5:0.9343037974683545, time cost: 2.8788671493530273s
resnet152_num-8000 top1:0.773875, top5:0.93425, time cost: 2.89021897315979s
resnet152_num-8100 top1:0.7739506172839506, top5:0.9344444444444444, time cost: 2.922382354736328s
resnet152_num-8200 top1:0.7741463414634147, top5:0.9340243902439025, time cost: 2.9070723056793213s
resnet152_num-8300 top1:0.7739759036144578, top5:0.9340963855421687, time cost: 3.014571189880371s
resnet152_num-8400 top1:0.7738095238095238, top5:0.9336904761904762, time cost: 2.900003433227539s
