Resnet50_num-100 top1:0.76, top5:0.97, time cost: 1.3818857669830322s
Resnet50_num-200 top1:0.75, top5:0.935, time cost: 1.2920284271240234s
Resnet50_num-300 top1:0.7066666666666667, top5:0.9133333333333333, time cost: 1.3133289813995361s
Resnet50_num-400 top1:0.72, top5:0.92, time cost: 1.305176019668579s
Resnet50_num-500 top1:0.732, top5:0.93, time cost: 1.325643539428711s
Resnet50_num-600 top1:0.7366666666666667, top5:0.9316666666666666, time cost: 1.4228150844573975s
Resnet50_num-700 top1:0.74, top5:0.9342857142857143, time cost: 1.2926008701324463s
Resnet50_num-800 top1:0.74375, top5:0.93625, time cost: 1.3902649879455566s
Resnet50_num-900 top1:0.7433333333333333, top5:0.9344444444444444, time cost: 1.306248426437378s
Resnet50_num-1000 top1:0.747, top5:0.936, time cost: 1.3123080730438232s
Resnet50_num-1100 top1:0.7527272727272727, top5:0.9363636363636364, time cost: 1.3856480121612549s
Resnet50_num-1200 top1:0.7575, top5:0.9341666666666667, time cost: 1.4206023216247559s
Resnet50_num-1300 top1:0.7607692307692308, top5:0.936923076923077, time cost: 1.2927582263946533s
Resnet50_num-1400 top1:0.7607142857142857, top5:0.9357142857142857, time cost: 1.316460371017456s
Resnet50_num-1500 top1:0.76, top5:0.9353333333333333, time cost: 1.2999708652496338s
Resnet50_num-1600 top1:0.75625, top5:0.93, time cost: 1.318993330001831s
Resnet50_num-1700 top1:0.7558823529411764, top5:0.9294117647058824, time cost: 1.3536434173583984s
Resnet50_num-1800 top1:0.7544444444444445, top5:0.9283333333333333, time cost: 1.3474383354187012s
Resnet50_num-1900 top1:0.7589473684210526, top5:0.93, time cost: 1.3107776641845703s
Resnet50_num-2000 top1:0.7565, top5:0.927, time cost: 1.3306608200073242s
Resnet50_num-2100 top1:0.7595238095238095, top5:0.9261904761904762, time cost: 1.365894079208374s
Resnet50_num-2200 top1:0.7554545454545455, top5:0.925, time cost: 1.3183801174163818s
Resnet50_num-2300 top1:0.7565217391304347, top5:0.9260869565217391, time cost: 1.3740925788879395s
Resnet50_num-2400 top1:0.7579166666666667, top5:0.9266666666666666, time cost: 1.2961270809173584s
Resnet50_num-2500 top1:0.762, top5:0.9284, time cost: 1.3587167263031006s
Resnet50_num-2600 top1:0.7619230769230769, top5:0.928076923076923, time cost: 1.3063325881958008s
Resnet50_num-2700 top1:0.7625925925925926, top5:0.9288888888888889, time cost: 1.2984623908996582s
Resnet50_num-2800 top1:0.7625, top5:0.9275, time cost: 1.3644111156463623s
Resnet50_num-2900 top1:0.7655172413793103, top5:0.9286206896551724, time cost: 1.2878894805908203s
Resnet50_num-3000 top1:0.7643333333333333, top5:0.9283333333333333, time cost: 1.3485324382781982s
Resnet50_num-3100 top1:0.7638709677419355, top5:0.9274193548387096, time cost: 1.3072876930236816s
Resnet50_num-3200 top1:0.763125, top5:0.9278125, time cost: 1.318741798400879s
Resnet50_num-3300 top1:0.7615151515151515, top5:0.9275757575757576, time cost: 1.285754680633545s
Resnet50_num-3400 top1:0.7620588235294118, top5:0.9285294117647059, time cost: 1.2970504760742188s
Resnet50_num-3500 top1:0.762, top5:0.9288571428571428, time cost: 1.2850124835968018s
Resnet50_num-3600 top1:0.7619444444444444, top5:0.9286111111111112, time cost: 1.344057321548462s
Resnet50_num-3700 top1:0.762972972972973, top5:0.9286486486486486, time cost: 1.3174655437469482s
Resnet50_num-3800 top1:0.7626315789473684, top5:0.9278947368421052, time cost: 1.3001375198364258s
Resnet50_num-3900 top1:0.7623076923076924, top5:0.9279487179487179, time cost: 1.3042678833007812s
Resnet50_num-4000 top1:0.76025, top5:0.92775, time cost: 1.2982375621795654s
Resnet50_num-4100 top1:0.761219512195122, top5:0.9273170731707318, time cost: 1.303081750869751s
Resnet50_num-4200 top1:0.7604761904761905, top5:0.9269047619047619, time cost: 1.2818315029144287s
Resnet50_num-4300 top1:0.7604651162790698, top5:0.9269767441860465, time cost: 1.3120851516723633s
Resnet50_num-4400 top1:0.7604545454545455, top5:0.9261363636363636, time cost: 1.3586106300354004s
Resnet50_num-4500 top1:0.7613333333333333, top5:0.9266666666666666, time cost: 1.3488664627075195s
Resnet50_num-4600 top1:0.7595652173913043, top5:0.9258695652173913, time cost: 1.2924697399139404s
Resnet50_num-4700 top1:0.7595744680851064, top5:0.925531914893617, time cost: 1.3213748931884766s
Resnet50_num-4800 top1:0.758125, top5:0.9258333333333333, time cost: 1.2981834411621094s
Resnet50_num-4900 top1:0.7589795918367347, top5:0.9257142857142857, time cost: 1.3304975032806396s
Resnet50_num-5000 top1:0.7594, top5:0.926, time cost: 1.2924513816833496s
Resnet50_num-5100 top1:0.7594117647058823, top5:0.9250980392156862, time cost: 1.3284454345703125s
Resnet50_num-5200 top1:0.7607692307692308, top5:0.9248076923076923, time cost: 1.327221155166626s
Resnet50_num-5300 top1:0.7605660377358491, top5:0.9249056603773584, time cost: 1.340911626815796s
Resnet50_num-5400 top1:0.7588888888888888, top5:0.9244444444444444, time cost: 1.290351152420044s
Resnet50_num-5500 top1:0.7583636363636364, top5:0.9243636363636364, time cost: 1.300896406173706s
Resnet50_num-5600 top1:0.7592857142857142, top5:0.9244642857142857, time cost: 1.2984442710876465s
Resnet50_num-5700 top1:0.7582456140350877, top5:0.9254385964912281, time cost: 1.300673246383667s
Resnet50_num-5800 top1:0.7579310344827587, top5:0.9253448275862068, time cost: 1.2770717144012451s
Resnet50_num-5900 top1:0.7572881355932204, top5:0.9254237288135593, time cost: 1.3148689270019531s
Resnet50_num-6000 top1:0.757, top5:0.9255, time cost: 1.3327407836914062s
Resnet50_num-6100 top1:0.7573770491803279, top5:0.9254098360655738, time cost: 1.3111720085144043s
Resnet50_num-6200 top1:0.7574193548387097, top5:0.9248387096774193, time cost: 1.3192849159240723s
Resnet50_num-6300 top1:0.7571428571428571, top5:0.9249206349206349, time cost: 1.305549144744873s
Resnet50_num-6400 top1:0.756875, top5:0.92484375, time cost: 1.4120383262634277s
Resnet50_num-6500 top1:0.7573846153846154, top5:0.9253846153846154, time cost: 1.298438549041748s
Resnet50_num-6600 top1:0.7575757575757576, top5:0.9254545454545454, time cost: 1.3079421520233154s
