Resnet50_num-100 top1:0.66, top5:0.92, time cost: 2.0376970767974854s
Resnet50_num-200 top1:0.695, top5:0.905, time cost: 1.949777364730835s
Resnet50_num-300 top1:0.67, top5:0.89, time cost: 2.086764097213745s
Resnet50_num-400 top1:0.67, top5:0.8825, time cost: 1.9267230033874512s
Resnet50_num-500 top1:0.696, top5:0.898, time cost: 2.0943214893341064s
Resnet50_num-600 top1:0.705, top5:0.9033333333333333, time cost: 3.606962203979492s
Resnet50_num-700 top1:0.7028571428571428, top5:0.9042857142857142, time cost: 1.9527876377105713s
Resnet50_num-800 top1:0.70375, top5:0.90625, time cost: 2.561985492706299s
Resnet50_num-900 top1:0.7, top5:0.9022222222222223, time cost: 1.9539270401000977s
Resnet50_num-1000 top1:0.711, top5:0.904, time cost: 2.0227417945861816s
Resnet50_num-1100 top1:0.7181818181818181, top5:0.9081818181818182, time cost: 2.759143114089966s
Resnet50_num-1200 top1:0.72, top5:0.9075, time cost: 2.116180181503296s
Resnet50_num-1300 top1:0.7215384615384616, top5:0.9053846153846153, time cost: 2.0193710327148438s
Resnet50_num-1400 top1:0.7207142857142858, top5:0.9078571428571428, time cost: 1.99434232711792s
Resnet50_num-1500 top1:0.7186666666666667, top5:0.906, time cost: 1.9472148418426514s
Resnet50_num-1600 top1:0.711875, top5:0.90125, time cost: 2.085017681121826s
Resnet50_num-1700 top1:0.7105882352941176, top5:0.8994117647058824, time cost: 2.3514511585235596s
Resnet50_num-1800 top1:0.7061111111111111, top5:0.8972222222222223, time cost: 2.3934261798858643s
Resnet50_num-1900 top1:0.708421052631579, top5:0.9, time cost: 2.0873289108276367s
Resnet50_num-2000 top1:0.707, top5:0.897, time cost: 2.181382417678833s
Resnet50_num-2100 top1:0.7114285714285714, top5:0.8985714285714286, time cost: 2.6538615226745605s
Resnet50_num-2200 top1:0.7090909090909091, top5:0.8959090909090909, time cost: 2.123584270477295s
Resnet50_num-2300 top1:0.7104347826086956, top5:0.8969565217391304, time cost: 2.564497470855713s
Resnet50_num-2400 top1:0.7120833333333333, top5:0.8975, time cost: 1.9529719352722168s
Resnet50_num-2500 top1:0.7168, top5:0.9, time cost: 2.4314684867858887s
Resnet50_num-2600 top1:0.7161538461538461, top5:0.8996153846153846, time cost: 2.0216927528381348s
Resnet50_num-2700 top1:0.717037037037037, top5:0.9003703703703704, time cost: 2.011613368988037s
Resnet50_num-2800 top1:0.7167857142857142, top5:0.8992857142857142, time cost: 2.5380802154541016s
Resnet50_num-2900 top1:0.7196551724137931, top5:0.9006896551724138, time cost: 1.9480268955230713s
Resnet50_num-3000 top1:0.718, top5:0.9003333333333333, time cost: 2.465867042541504s
Resnet50_num-3100 top1:0.717741935483871, top5:0.9003225806451612, time cost: 1.9860739707946777s
Resnet50_num-3200 top1:0.7159375, top5:0.9009375, time cost: 2.1741127967834473s
Resnet50_num-3300 top1:0.7163636363636363, top5:0.9012121212121212, time cost: 1.8877453804016113s
Resnet50_num-3400 top1:0.7155882352941176, top5:0.9020588235294118, time cost: 1.9334509372711182s
Resnet50_num-3500 top1:0.7154285714285714, top5:0.9028571428571428, time cost: 1.937877893447876s
Resnet50_num-3600 top1:0.715, top5:0.9019444444444444, time cost: 2.2979562282562256s
Resnet50_num-3700 top1:0.7167567567567568, top5:0.9018918918918919, time cost: 2.0208680629730225s
Resnet50_num-3800 top1:0.7157894736842105, top5:0.9005263157894737, time cost: 2.015932083129883s
Resnet50_num-3900 top1:0.7176923076923077, top5:0.9012820512820513, time cost: 2.016685724258423s
Resnet50_num-4000 top1:0.71775, top5:0.9015, time cost: 1.9761254787445068s
Resnet50_num-4100 top1:0.718780487804878, top5:0.901219512195122, time cost: 1.9720611572265625s
Resnet50_num-4200 top1:0.7176190476190476, top5:0.900952380952381, time cost: 1.8911223411560059s
Resnet50_num-4300 top1:0.7167441860465116, top5:0.9013953488372093, time cost: 2.014782190322876s
Resnet50_num-4400 top1:0.7168181818181818, top5:0.9009090909090909, time cost: 2.399059295654297s
Resnet50_num-4500 top1:0.7193333333333334, top5:0.9013333333333333, time cost: 2.434570074081421s
Resnet50_num-4600 top1:0.7186956521739131, top5:0.9008695652173913, time cost: 1.9191160202026367s
Resnet50_num-4700 top1:0.7182978723404255, top5:0.9010638297872341, time cost: 2.1651535034179688s
Resnet50_num-4800 top1:0.7189583333333334, top5:0.9016666666666666, time cost: 1.9286987781524658s
Resnet50_num-4900 top1:0.7189795918367347, top5:0.9012244897959184, time cost: 2.083796262741089s
Resnet50_num-5000 top1:0.719, top5:0.9014, time cost: 1.910332441329956s
Resnet50_num-5100 top1:0.7184313725490196, top5:0.9013725490196078, time cost: 2.0720677375793457s
Resnet50_num-5200 top1:0.7190384615384615, top5:0.9007692307692308, time cost: 2.2732417583465576s
Resnet50_num-5300 top1:0.7181132075471698, top5:0.9005660377358491, time cost: 2.3256731033325195s
Resnet50_num-5400 top1:0.7174074074074074, top5:0.9003703703703704, time cost: 1.933487892150879s
Resnet50_num-5500 top1:0.7167272727272728, top5:0.8994545454545455, time cost: 1.9947714805603027s
Resnet50_num-5600 top1:0.7173214285714286, top5:0.8996428571428572, time cost: 2.021182060241699s
Resnet50_num-5700 top1:0.7171929824561404, top5:0.8998245614035087, time cost: 2.030104160308838s
Resnet50_num-5800 top1:0.7172413793103448, top5:0.9001724137931034, time cost: 1.9043450355529785s
Resnet50_num-5900 top1:0.7171186440677966, top5:0.8996610169491526, time cost: 2.02107310295105s
Resnet50_num-6000 top1:0.7166666666666667, top5:0.899, time cost: 2.2590487003326416s
Resnet50_num-6100 top1:0.7167213114754099, top5:0.8991803278688525, time cost: 2.0122594833374023s
Resnet50_num-6200 top1:0.7159677419354838, top5:0.8991935483870968, time cost: 2.081742286682129s
Resnet50_num-6300 top1:0.7168253968253968, top5:0.8988888888888888, time cost: 2.0293264389038086s
Resnet50_num-6400 top1:0.71609375, top5:0.89875, time cost: 3.855483055114746s
Resnet50_num-6500 top1:0.7167692307692307, top5:0.8992307692307693, time cost: 1.947833776473999s
Resnet50_num-6600 top1:0.7165151515151515, top5:0.8993939393939394, time cost: 1.9977972507476807s
Resnet50_num-6700 top1:0.7167164179104477, top5:0.8991044776119403, time cost: 2.7047691345214844s
Resnet50_num-6800 top1:0.7175, top5:0.8997058823529411, time cost: 1.922013282775879s
Resnet50_num-6900 top1:0.7171014492753623, top5:0.8994202898550725, time cost: 1.9880928993225098s
Resnet50_num-7000 top1:0.7175714285714285, top5:0.8992857142857142, time cost: 1.982839584350586s
Resnet50_num-7100 top1:0.7180281690140845, top5:0.8995774647887324, time cost: 2.3393208980560303s
Resnet50_num-7200 top1:0.7184722222222222, top5:0.8991666666666667, time cost: 2.228034019470215s
Resnet50_num-7300 top1:0.7180821917808219, top5:0.8987671232876713, time cost: 1.9474647045135498s
Resnet50_num-7400 top1:0.7182432432432433, top5:0.8987837837837838, time cost: 2.0453121662139893s
Resnet50_num-7500 top1:0.7185333333333334, top5:0.8989333333333334, time cost: 2.0067861080169678s
Resnet50_num-7600 top1:0.7185526315789473, top5:0.8988157894736842, time cost: 2.025974988937378s
Resnet50_num-7700 top1:0.7187012987012987, top5:0.8985714285714286, time cost: 1.943690299987793s
Resnet50_num-7800 top1:0.7182051282051282, top5:0.8982051282051282, time cost: 1.965517282485962s
Resnet50_num-7900 top1:0.7181012658227848, top5:0.8982278481012658, time cost: 1.924551248550415s
Resnet50_num-8000 top1:0.71775, top5:0.898125, time cost: 1.9319767951965332s
Resnet50_num-8100 top1:0.7176543209876544, top5:0.898641975308642, time cost: 2.091207981109619s
Resnet50_num-8200 top1:0.7178048780487805, top5:0.8989024390243903, time cost: 2.044400453567505s
Resnet50_num-8300 top1:0.7175903614457831, top5:0.899277108433735, time cost: 3.101855754852295s
Resnet50_num-8400 top1:0.7177380952380953, top5:0.8988095238095238, time cost: 1.9740848541259766s
Resnet50_num-8500 top1:0.7175294117647059, top5:0.8991764705882352, time cost: 1.974334478378296s
Resnet50_num-8600 top1:0.7168604651162791, top5:0.8983720930232558, time cost: 1.9584357738494873s
Resnet50_num-8700 top1:0.7173563218390805, top5:0.8987356321839081, time cost: 2.087503671646118s
Resnet50_num-8800 top1:0.7172727272727273, top5:0.8985227272727273, time cost: 2.0864460468292236s
Resnet50_num-8900 top1:0.7167415730337079, top5:0.898314606741573, time cost: 1.9098258018493652s
Resnet50_num-9000 top1:0.7167777777777777, top5:0.8983333333333333, time cost: 2.547090768814087s
Resnet50_num-9100 top1:0.7164835164835165, top5:0.8984615384615384, time cost: 1.9156243801116943s
Resnet50_num-9200 top1:0.7167391304347827, top5:0.8984782608695652, time cost: 2.1865508556365967s
Resnet50_num-9300 top1:0.7164516129032258, top5:0.8987096774193548, time cost: 2.1572017669677734s
Resnet50_num-9400 top1:0.7168085106382979, top5:0.8986170212765957, time cost: 4.111466646194458s
Resnet50_num-9500 top1:0.716842105263158, top5:0.8986315789473684, time cost: 2.218977928161621s
Resnet50_num-9600 top1:0.71625, top5:0.8983333333333333, time cost: 2.510164737701416s
Resnet50_num-9700 top1:0.7158762886597938, top5:0.8979381443298969, time cost: 2.041130304336548s
Resnet50_num-9800 top1:0.7161224489795919, top5:0.8979591836734694, time cost: 1.9843714237213135s
Resnet50_num-9900 top1:0.7160606060606061, top5:0.8981818181818182, time cost: 2.0527422428131104s
Resnet50_num-10000 top1:0.7161, top5:0.8985, time cost: 2.031575918197632s
Resnet50_num-10100 top1:0.7167326732673267, top5:0.899009900990099, time cost: 2.04624080657959s
Resnet50_num-10200 top1:0.7166666666666667, top5:0.8993137254901961, time cost: 1.9680745601654053s
Resnet50_num-10300 top1:0.7160194174757282, top5:0.8993203883495146, time cost: 1.9884130954742432s
Resnet50_num-10400 top1:0.7160576923076923, top5:0.8992307692307693, time cost: 2.0335071086883545s
Resnet50_num-10500 top1:0.7155238095238096, top5:0.8993333333333333, time cost: 2.0152041912078857s
Resnet50_num-10600 top1:0.714622641509434, top5:0.8989622641509434, time cost: 2.666361093521118s
Resnet50_num-10700 top1:0.7139252336448598, top5:0.8990654205607477, time cost: 2.2933990955352783s
Resnet50_num-10800 top1:0.7137962962962963, top5:0.8987037037037037, time cost: 2.0706276893615723s
Resnet50_num-10900 top1:0.7142201834862385, top5:0.8988990825688074, time cost: 1.963477373123169s
Resnet50_num-11000 top1:0.7145454545454546, top5:0.8986363636363637, time cost: 2.814371109008789s
Resnet50_num-11100 top1:0.7144144144144144, top5:0.8985585585585586, time cost: 2.668825149536133s
Resnet50_num-11200 top1:0.7145535714285715, top5:0.8984821428571429, time cost: 1.9190874099731445s
Resnet50_num-11300 top1:0.7142477876106195, top5:0.8985840707964602, time cost: 3.229299783706665s
Resnet50_num-11400 top1:0.7144736842105263, top5:0.8984210526315789, time cost: 1.9360926151275635s
Resnet50_num-11500 top1:0.7147826086956521, top5:0.8987826086956522, time cost: 1.9358129501342773s
Resnet50_num-11600 top1:0.714396551724138, top5:0.8985344827586207, time cost: 1.9453542232513428s
Resnet50_num-11700 top1:0.7145299145299145, top5:0.8981196581196581, time cost: 1.9439945220947266s
Resnet50_num-11800 top1:0.7145762711864406, top5:0.898135593220339, time cost: 1.999037742614746s
Resnet50_num-11900 top1:0.7142857142857143, top5:0.898235294117647, time cost: 1.9558463096618652s
Resnet50_num-12000 top1:0.7145, top5:0.8980833333333333, time cost: 1.9747018814086914s
Resnet50_num-12100 top1:0.7147107438016529, top5:0.8984297520661157, time cost: 4.013858318328857s
Resnet50_num-12200 top1:0.7142622950819673, top5:0.8981967213114754, time cost: 2.927263021469116s
Resnet50_num-12300 top1:0.7139024390243902, top5:0.898130081300813, time cost: 3.1550745964050293s
Resnet50_num-12400 top1:0.7139516129032258, top5:0.8983870967741936, time cost: 2.173417091369629s
Resnet50_num-12500 top1:0.71496, top5:0.8988, time cost: 2.325444459915161s
Resnet50_num-12600 top1:0.7146825396825397, top5:0.8986507936507937, time cost: 3.295806884765625s
Resnet50_num-12700 top1:0.7141732283464567, top5:0.8984251968503937, time cost: 1.9789831638336182s
Resnet50_num-12800 top1:0.7140625, top5:0.898515625, time cost: 1.9691436290740967s
Resnet50_num-12900 top1:0.7134883720930233, top5:0.8981395348837209, time cost: 2.4925973415374756s
Resnet50_num-13000 top1:0.7137692307692308, top5:0.8984615384615384, time cost: 2.0691802501678467s
Resnet50_num-13100 top1:0.7133587786259542, top5:0.898473282442748, time cost: 2.2091002464294434s
Resnet50_num-13200 top1:0.7133333333333334, top5:0.8985606060606061, time cost: 1.9587678909301758s
Resnet50_num-13300 top1:0.7127819548872181, top5:0.8984210526315789, time cost: 2.0362536907196045s
Resnet50_num-13400 top1:0.712910447761194, top5:0.8985074626865671, time cost: 2.0199644565582275s
Resnet50_num-13500 top1:0.7125925925925926, top5:0.8985185185185185, time cost: 4.4043519496917725s
Resnet50_num-13600 top1:0.7118382352941176, top5:0.8985294117647059, time cost: 3.1013083457946777s
Resnet50_num-13700 top1:0.7110948905109489, top5:0.8978832116788321, time cost: 2.2351388931274414s
Resnet50_num-13800 top1:0.7108695652173913, top5:0.8979710144927536, time cost: 2.0794737339019775s
Resnet50_num-13900 top1:0.710863309352518, top5:0.8979856115107914, time cost: 3.028859853744507s
Resnet50_num-14000 top1:0.7116428571428571, top5:0.8983571428571429, time cost: 2.0323619842529297s
Resnet50_num-14100 top1:0.7117021276595744, top5:0.8985106382978724, time cost: 3.008084297180176s
Resnet50_num-14200 top1:0.7114788732394366, top5:0.8985915492957747, time cost: 1.9261021614074707s
Resnet50_num-14300 top1:0.711048951048951, top5:0.8983916083916084, time cost: 2.1226186752319336s
Resnet50_num-14400 top1:0.7111805555555556, top5:0.8985416666666667, time cost: 2.399179220199585s
Resnet50_num-14500 top1:0.7110344827586207, top5:0.8983448275862069, time cost: 1.9754657745361328s
Resnet50_num-14600 top1:0.7113698630136986, top5:0.8982876712328767, time cost: 2.460350275039673s
Resnet50_num-14700 top1:0.7113605442176871, top5:0.8982312925170068, time cost: 2.263047933578491s
Resnet50_num-14800 top1:0.711418918918919, top5:0.898445945945946, time cost: 2.003845453262329s
Resnet50_num-14900 top1:0.7115436241610739, top5:0.8986577181208054, time cost: 2.8246049880981445s
Resnet50_num-15000 top1:0.7114, top5:0.8984, time cost: 2.341110944747925s
Resnet50_num-15100 top1:0.7115894039735099, top5:0.8986092715231788, time cost: 2.0592949390411377s
Resnet50_num-15200 top1:0.7111184210526316, top5:0.8984868421052632, time cost: 2.3851919174194336s
Resnet50_num-15300 top1:0.7108496732026144, top5:0.8984967320261438, time cost: 1.9929578304290771s
Resnet50_num-15400 top1:0.7109090909090909, top5:0.8985064935064935, time cost: 1.9356367588043213s
Resnet50_num-15500 top1:0.7109677419354838, top5:0.8987096774193548, time cost: 2.3135788440704346s
Resnet50_num-15600 top1:0.7107051282051282, top5:0.898525641025641, time cost: 2.1774466037750244s
Resnet50_num-15700 top1:0.7111464968152866, top5:0.8985350318471338, time cost: 2.060025453567505s
Resnet50_num-15800 top1:0.7109493670886076, top5:0.8986708860759494, time cost: 2.2962887287139893s
Resnet50_num-15900 top1:0.7110691823899371, top5:0.8985534591194968, time cost: 1.9695489406585693s
Resnet50_num-16000 top1:0.71125, top5:0.8988125, time cost: 2.097633123397827s
Resnet50_num-16100 top1:0.7106211180124223, top5:0.8982608695652174, time cost: 1.9562320709228516s
Resnet50_num-16200 top1:0.7108024691358025, top5:0.8983333333333333, time cost: 1.9573469161987305s
Resnet50_num-16300 top1:0.7104294478527607, top5:0.898282208588957, time cost: 3.8409626483917236s
Resnet50_num-16400 top1:0.7104878048780487, top5:0.8985975609756097, time cost: 2.088322877883911s
Resnet50_num-16500 top1:0.7097575757575758, top5:0.8982424242424243, time cost: 2.411184787750244s
Resnet50_num-16600 top1:0.7095180722891566, top5:0.8984337349397591, time cost: 2.3880999088287354s
Resnet50_num-16700 top1:0.7097005988023952, top5:0.8985628742514971, time cost: 2.1974315643310547s
Resnet50_num-16800 top1:0.7098214285714286, top5:0.8983928571428571, time cost: 2.1340012550354004s
Resnet50_num-16900 top1:0.7096449704142012, top5:0.8981656804733728, time cost: 1.9958994388580322s
Resnet50_num-17000 top1:0.7097058823529412, top5:0.8982941176470588, time cost: 2.1418051719665527s
Resnet50_num-17100 top1:0.7093567251461989, top5:0.8979532163742691, time cost: 2.1272356510162354s
Resnet50_num-17200 top1:0.7091279069767442, top5:0.8978488372093023, time cost: 2.020433187484741s
Resnet50_num-17300 top1:0.7094219653179191, top5:0.8980346820809249, time cost: 2.2116596698760986s
Resnet50_num-17400 top1:0.7091954022988506, top5:0.8979885057471264, time cost: 2.927971601486206s
Resnet50_num-17500 top1:0.7093142857142857, top5:0.8981142857142858, time cost: 2.3828890323638916s
Resnet50_num-17600 top1:0.7092613636363636, top5:0.8982386363636363, time cost: 2.442591428756714s
Resnet50_num-17700 top1:0.7094915254237288, top5:0.8982485875706214, time cost: 2.3129687309265137s
