squeezenetv1.0_num-100 top1:0.59, top5:0.8, time cost: 0.5823700428009033s
squeezenetv1.0_num-200 top1:0.555, top5:0.785, time cost: 0.5493929386138916s
squeezenetv1.0_num-300 top1:0.5333333333333333, top5:0.7633333333333333, time cost: 0.5820286273956299s
squeezenetv1.0_num-400 top1:0.54, top5:0.77, time cost: 0.571204662322998s
squeezenetv1.0_num-500 top1:0.564, top5:0.796, time cost: 0.5939314365386963s
squeezenetv1.0_num-600 top1:0.57, top5:0.8, time cost: 0.6890645027160645s
squeezenetv1.0_num-700 top1:0.57, top5:0.8, time cost: 0.5604324340820312s
squeezenetv1.0_num-800 top1:0.56875, top5:0.79875, time cost: 0.6500704288482666s
squeezenetv1.0_num-900 top1:0.5622222222222222, top5:0.7977777777777778, time cost: 0.5673747062683105s
squeezenetv1.0_num-1000 top1:0.559, top5:0.794, time cost: 0.5806136131286621s
squeezenetv1.0_num-1100 top1:0.5636363636363636, top5:0.7936363636363636, time cost: 0.6092269420623779s
squeezenetv1.0_num-1200 top1:0.5683333333333334, top5:0.795, time cost: 0.5716338157653809s
squeezenetv1.0_num-1300 top1:0.5715384615384616, top5:0.7992307692307692, time cost: 0.5558204650878906s
squeezenetv1.0_num-1400 top1:0.5707142857142857, top5:0.7928571428571428, time cost: 0.6171114444732666s
squeezenetv1.0_num-1500 top1:0.5706666666666667, top5:0.7893333333333333, time cost: 0.593573808670044s
squeezenetv1.0_num-1600 top1:0.571875, top5:0.786875, time cost: 0.5850632190704346s
squeezenetv1.0_num-1700 top1:0.571764705882353, top5:0.7852941176470588, time cost: 0.5933897495269775s
squeezenetv1.0_num-1800 top1:0.5661111111111111, top5:0.7833333333333333, time cost: 0.5906848907470703s
squeezenetv1.0_num-1900 top1:0.5626315789473684, top5:0.7821052631578947, time cost: 0.5720782279968262s
squeezenetv1.0_num-2000 top1:0.559, top5:0.783, time cost: 0.5886118412017822s
squeezenetv1.0_num-2100 top1:0.5633333333333334, top5:0.7847619047619048, time cost: 0.628568172454834s
squeezenetv1.0_num-2200 top1:0.56, top5:0.7818181818181819, time cost: 0.5811655521392822s
squeezenetv1.0_num-2300 top1:0.5608695652173913, top5:0.7808695652173913, time cost: 0.6329793930053711s
squeezenetv1.0_num-2400 top1:0.5629166666666666, top5:0.7829166666666667, time cost: 0.5695910453796387s
squeezenetv1.0_num-2500 top1:0.5628, top5:0.7844, time cost: 0.6030492782592773s
squeezenetv1.0_num-2600 top1:0.5596153846153846, top5:0.7842307692307692, time cost: 0.5748507976531982s
