vgg19_num-100 top1:0.72, top5:0.91, time cost: 1.2838070392608643s
vgg19_num-200 top1:0.725, top5:0.915, time cost: 1.1874752044677734s
vgg19_num-300 top1:0.7, top5:0.9033333333333333, time cost: 1.2162787914276123s
vgg19_num-400 top1:0.705, top5:0.9025, time cost: 1.2092821598052979s
vgg19_num-500 top1:0.722, top5:0.916, time cost: 1.232494831085205s
vgg19_num-600 top1:0.7066666666666667, top5:0.9116666666666666, time cost: 1.3153109550476074s
vgg19_num-700 top1:0.7071428571428572, top5:0.91, time cost: 1.195469617843628s
vgg19_num-800 top1:0.71, top5:0.905, time cost: 1.2850167751312256s
vgg19_num-900 top1:0.7088888888888889, top5:0.9033333333333333, time cost: 1.2057323455810547s
vgg19_num-1000 top1:0.704, top5:0.904, time cost: 1.2160906791687012s
vgg19_num-1100 top1:0.7081818181818181, top5:0.9054545454545454, time cost: 1.2490744590759277s
vgg19_num-1200 top1:0.7158333333333333, top5:0.9058333333333334, time cost: 1.2140696048736572s
vgg19_num-1300 top1:0.7192307692307692, top5:0.9076923076923077, time cost: 1.1884825229644775s
vgg19_num-1400 top1:0.7185714285714285, top5:0.905, time cost: 1.2144618034362793s
vgg19_num-1500 top1:0.718, top5:0.9026666666666666, time cost: 1.2002787590026855s
vgg19_num-1600 top1:0.713125, top5:0.900625, time cost: 1.2172551155090332s
vgg19_num-1700 top1:0.7135294117647059, top5:0.9011764705882352, time cost: 1.247403621673584s
vgg19_num-1800 top1:0.7144444444444444, top5:0.9016666666666666, time cost: 1.240567922592163s
vgg19_num-1900 top1:0.7152631578947368, top5:0.9031578947368422, time cost: 1.2055320739746094s
vgg19_num-2000 top1:0.714, top5:0.9015, time cost: 1.2308902740478516s
vgg19_num-2100 top1:0.7161904761904762, top5:0.9014285714285715, time cost: 1.256082534790039s
vgg19_num-2200 top1:0.7118181818181818, top5:0.9013636363636364, time cost: 1.2140419483184814s
vgg19_num-2300 top1:0.7108695652173913, top5:0.9021739130434783, time cost: 1.25709867477417s
vgg19_num-2400 top1:0.7129166666666666, top5:0.9016666666666666, time cost: 1.2057545185089111s
vgg19_num-2500 top1:0.7164, top5:0.904, time cost: 1.231379508972168s
vgg19_num-2600 top1:0.7153846153846154, top5:0.9038461538461539, time cost: 1.2084887027740479s
vgg19_num-2700 top1:0.7140740740740741, top5:0.904074074074074, time cost: 1.199350357055664s
vgg19_num-2800 top1:0.7153571428571428, top5:0.9042857142857142, time cost: 1.2617506980895996s
vgg19_num-2900 top1:0.7172413793103448, top5:0.9055172413793103, time cost: 1.1935226917266846s
vgg19_num-3000 top1:0.7156666666666667, top5:0.904, time cost: 1.2430834770202637s
vgg19_num-3100 top1:0.7151612903225807, top5:0.9048387096774193, time cost: 1.1955978870391846s
vgg19_num-3200 top1:0.7134375, top5:0.9046875, time cost: 1.2137172222137451s
vgg19_num-3300 top1:0.7133333333333334, top5:0.9045454545454545, time cost: 1.185486078262329s
vgg19_num-3400 top1:0.7132352941176471, top5:0.905, time cost: 1.1956424713134766s
vgg19_num-3500 top1:0.714, top5:0.9062857142857143, time cost: 1.1812477111816406s
vgg19_num-3600 top1:0.7147222222222223, top5:0.9044444444444445, time cost: 1.2442500591278076s
vgg19_num-3700 top1:0.715945945945946, top5:0.9048648648648648, time cost: 1.2118384838104248s
vgg19_num-3800 top1:0.7139473684210527, top5:0.9036842105263158, time cost: 1.1993753910064697s
vgg19_num-3900 top1:0.7146153846153847, top5:0.9046153846153846, time cost: 1.20481276512146s
vgg19_num-4000 top1:0.7145, top5:0.90425, time cost: 1.1966297626495361s
vgg19_num-4100 top1:0.7163414634146341, top5:0.9041463414634147, time cost: 1.2055368423461914s
vgg19_num-4200 top1:0.7166666666666667, top5:0.9040476190476191, time cost: 1.1806869506835938s
vgg19_num-4300 top1:0.7155813953488372, top5:0.9034883720930232, time cost: 1.2100539207458496s
vgg19_num-4400 top1:0.7156818181818182, top5:0.9031818181818182, time cost: 1.2554473876953125s
vgg19_num-4500 top1:0.7171111111111111, top5:0.9037777777777778, time cost: 1.250195026397705s
vgg19_num-4600 top1:0.716304347826087, top5:0.9023913043478261, time cost: 1.192131757736206s
vgg19_num-4700 top1:0.7168085106382979, top5:0.902127659574468, time cost: 1.2226412296295166s
vgg19_num-4800 top1:0.7166666666666667, top5:0.9029166666666667, time cost: 1.1987636089324951s
vgg19_num-4900 top1:0.7161224489795919, top5:0.9028571428571428, time cost: 1.23280668258667s
vgg19_num-5000 top1:0.717, top5:0.903, time cost: 1.1915709972381592s
vgg19_num-5100 top1:0.7166666666666667, top5:0.9025490196078432, time cost: 1.2298028469085693s
vgg19_num-5200 top1:0.7180769230769231, top5:0.9026923076923077, time cost: 1.2213287353515625s
vgg19_num-5300 top1:0.7177358490566038, top5:0.9030188679245283, time cost: 1.2392642498016357s
vgg19_num-5400 top1:0.7177777777777777, top5:0.9033333333333333, time cost: 1.1899523735046387s
vgg19_num-5500 top1:0.7167272727272728, top5:0.9023636363636364, time cost: 1.2019336223602295s
vgg19_num-5600 top1:0.7167857142857142, top5:0.9023214285714286, time cost: 1.200087308883667s
vgg19_num-5700 top1:0.7177192982456141, top5:0.9029824561403509, time cost: 1.2045907974243164s
vgg19_num-5800 top1:0.7174137931034483, top5:0.9022413793103449, time cost: 1.177668809890747s
vgg19_num-5900 top1:0.7171186440677966, top5:0.9027118644067796, time cost: 1.21604585647583s
vgg19_num-6000 top1:0.7163333333333334, top5:0.9025, time cost: 1.233511209487915s
vgg19_num-6100 top1:0.7168852459016394, top5:0.9022950819672131, time cost: 1.2147972583770752s
vgg19_num-6200 top1:0.715, top5:0.9014516129032258, time cost: 1.2161433696746826s
vgg19_num-6300 top1:0.714920634920635, top5:0.9015873015873016, time cost: 1.2043938636779785s
vgg19_num-6400 top1:0.71421875, top5:0.90140625, time cost: 1.3035798072814941s
vgg19_num-6500 top1:0.7147692307692308, top5:0.9016923076923077, time cost: 1.2003865242004395s
vgg19_num-6600 top1:0.7151515151515152, top5:0.9022727272727272, time cost: 1.2132434844970703s
vgg19_num-6700 top1:0.7150746268656717, top5:0.9017910447761194, time cost: 1.2383179664611816s
vgg19_num-6800 top1:0.7152941176470589, top5:0.9016176470588235, time cost: 1.1869759559631348s
vgg19_num-6900 top1:0.7152173913043478, top5:0.9007246376811594, time cost: 1.205461025238037s
vgg19_num-7000 top1:0.7158571428571429, top5:0.901, time cost: 1.202467679977417s
vgg19_num-7100 top1:0.7167605633802817, top5:0.9009859154929577, time cost: 1.2188115119934082s
vgg19_num-7200 top1:0.7176388888888889, top5:0.9011111111111111, time cost: 1.211963176727295s
vgg19_num-7300 top1:0.7173972602739725, top5:0.900958904109589, time cost: 1.1926662921905518s
vgg19_num-7400 top1:0.7178378378378378, top5:0.9009459459459459, time cost: 1.2206473350524902s
vgg19_num-7500 top1:0.718, top5:0.9012, time cost: 1.2014470100402832s
vgg19_num-7600 top1:0.718421052631579, top5:0.9017105263157895, time cost: 1.2006065845489502s
vgg19_num-7700 top1:0.7185714285714285, top5:0.902077922077922, time cost: 1.200392723083496s
vgg19_num-7800 top1:0.7176923076923077, top5:0.9017948717948718, time cost: 1.2006099224090576s
vgg19_num-7900 top1:0.7177215189873418, top5:0.9016455696202532, time cost: 1.1821091175079346s
vgg19_num-8000 top1:0.71775, top5:0.901625, time cost: 1.1936838626861572s
vgg19_num-8100 top1:0.7177777777777777, top5:0.9022222222222223, time cost: 1.2252638339996338s
vgg19_num-8200 top1:0.7174390243902439, top5:0.9019512195121951, time cost: 1.2149980068206787s
vgg19_num-8300 top1:0.7174698795180723, top5:0.9020481927710844, time cost: 1.305525302886963s
vgg19_num-8400 top1:0.7173809523809523, top5:0.9019047619047619, time cost: 1.2020173072814941s
vgg19_num-8500 top1:0.7172941176470589, top5:0.902, time cost: 1.1967406272888184s
vgg19_num-8600 top1:0.7165116279069768, top5:0.9016279069767442, time cost: 1.2036480903625488s
vgg19_num-8700 top1:0.7170114942528736, top5:0.9019540229885058, time cost: 1.213364601135254s
vgg19_num-8800 top1:0.7173863636363637, top5:0.9023863636363636, time cost: 1.196373701095581s
vgg19_num-8900 top1:0.7169662921348314, top5:0.9024719101123595, time cost: 1.189516544342041s
vgg19_num-9000 top1:0.7172222222222222, top5:0.9026666666666666, time cost: 1.2527167797088623s
vgg19_num-9100 top1:0.7176923076923077, top5:0.9025274725274726, time cost: 1.1875298023223877s
vgg19_num-9200 top1:0.7181521739130434, top5:0.9027173913043478, time cost: 1.2299959659576416s
vgg19_num-9300 top1:0.7179569892473119, top5:0.9025806451612903, time cost: 1.2329764366149902s
vgg19_num-9400 top1:0.718404255319149, top5:0.9028723404255319, time cost: 1.3287861347198486s
vgg19_num-9500 top1:0.7187368421052631, top5:0.9028421052631579, time cost: 1.2432880401611328s
vgg19_num-9600 top1:0.7179166666666666, top5:0.9023958333333333, time cost: 1.2426769733428955s
vgg19_num-9700 top1:0.7180412371134021, top5:0.9017525773195876, time cost: 1.2060599327087402s
vgg19_num-9800 top1:0.7176530612244898, top5:0.901734693877551, time cost: 1.2012925148010254s
vgg19_num-9900 top1:0.7171717171717171, top5:0.9018181818181819, time cost: 1.2185249328613281s
vgg19_num-10000 top1:0.7172, top5:0.9023, time cost: 1.204115867614746s
vgg19_num-10100 top1:0.7177227722772277, top5:0.9024752475247525, time cost: 1.2235212326049805s
vgg19_num-10200 top1:0.7184313725490196, top5:0.9025490196078432, time cost: 1.2014307975769043s
vgg19_num-10300 top1:0.7180582524271845, top5:0.902621359223301, time cost: 1.209765911102295s
vgg19_num-10400 top1:0.7176923076923077, top5:0.9024038461538462, time cost: 1.2038190364837646s
vgg19_num-10500 top1:0.717047619047619, top5:0.9022857142857142, time cost: 1.2163677215576172s
vgg19_num-10600 top1:0.7169811320754716, top5:0.9021698113207547, time cost: 1.276521921157837s
vgg19_num-10700 top1:0.7167289719626169, top5:0.9020560747663552, time cost: 1.2397825717926025s
vgg19_num-10800 top1:0.716574074074074, top5:0.9018518518518519, time cost: 1.2122561931610107s
vgg19_num-10900 top1:0.7161467889908257, top5:0.901559633027523, time cost: 1.200702428817749s
vgg19_num-11000 top1:0.7159090909090909, top5:0.9014545454545455, time cost: 1.272324562072754s
vgg19_num-11100 top1:0.7156756756756757, top5:0.9013513513513514, time cost: 1.2531929016113281s
vgg19_num-11200 top1:0.7155357142857143, top5:0.90125, time cost: 1.202049732208252s
vgg19_num-11300 top1:0.7153097345132743, top5:0.9011504424778761, time cost: 1.2707369327545166s
vgg19_num-11400 top1:0.7156140350877193, top5:0.9012280701754386, time cost: 1.1971662044525146s
vgg19_num-11500 top1:0.7157391304347827, top5:0.9014782608695652, time cost: 1.2065114974975586s
vgg19_num-11600 top1:0.7152586206896552, top5:0.9010344827586206, time cost: 1.194070816040039s
vgg19_num-11700 top1:0.7152136752136752, top5:0.9005982905982906, time cost: 1.2017433643341064s
vgg19_num-11800 top1:0.7155932203389831, top5:0.9008474576271186, time cost: 1.212116003036499s
vgg19_num-11900 top1:0.7156302521008403, top5:0.9009243697478991, time cost: 1.2044730186462402s
vgg19_num-12000 top1:0.716, top5:0.901, time cost: 1.195652961730957s
vgg19_num-12100 top1:0.7163636363636363, top5:0.9013223140495867, time cost: 1.2850632667541504s
vgg19_num-12200 top1:0.7156557377049181, top5:0.9010655737704918, time cost: 1.282304286956787s
vgg19_num-12300 top1:0.7157723577235773, top5:0.90130081300813, time cost: 1.3187470436096191s
vgg19_num-12400 top1:0.7162096774193548, top5:0.9014516129032258, time cost: 1.240382194519043s
vgg19_num-12500 top1:0.7168, top5:0.90144, time cost: 1.2203764915466309s
vgg19_num-12600 top1:0.716984126984127, top5:0.9015873015873016, time cost: 1.3266246318817139s
vgg19_num-12700 top1:0.7162204724409449, top5:0.9011023622047244, time cost: 1.2033464908599854s
vgg19_num-12800 top1:0.716640625, top5:0.90109375, time cost: 1.1997730731964111s
vgg19_num-12900 top1:0.7162015503875969, top5:0.9008527131782946, time cost: 1.2354753017425537s
vgg19_num-13000 top1:0.7168461538461538, top5:0.9012307692307693, time cost: 1.2014648914337158s
vgg19_num-13100 top1:0.7165648854961832, top5:0.9012213740458015, time cost: 1.228724479675293s
vgg19_num-13200 top1:0.7165909090909091, top5:0.9011363636363636, time cost: 1.1910901069641113s
vgg19_num-13300 top1:0.7158646616541353, top5:0.9009774436090225, time cost: 1.2127346992492676s
vgg19_num-13400 top1:0.7156716417910448, top5:0.9009701492537313, time cost: 1.193532943725586s
vgg19_num-13500 top1:0.7152592592592593, top5:0.9011851851851852, time cost: 1.3560259342193604s
vgg19_num-13600 top1:0.7147794117647058, top5:0.9008088235294117, time cost: 1.293621301651001s
vgg19_num-13700 top1:0.714087591240876, top5:0.9000729927007299, time cost: 1.2212612628936768s
vgg19_num-13800 top1:0.7140579710144928, top5:0.9000724637681159, time cost: 1.2100746631622314s
vgg19_num-13900 top1:0.7140287769784173, top5:0.8999280575539569, time cost: 1.3005268573760986s
vgg19_num-14000 top1:0.7143571428571428, top5:0.9, time cost: 1.2114067077636719s
vgg19_num-14100 top1:0.7142553191489361, top5:0.9002127659574468, time cost: 1.313551425933838s
vgg19_num-14200 top1:0.7140140845070423, top5:0.9002112676056339, time cost: 1.1984694004058838s
